antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'49006'}),"frozenset({'31423', '41427'})",0.999932294046954,0.3028656544626686,0.3028318014861457,0.302852306390182,0.9999559274143835,-1.3347168742627868e-05,0.999980853307543,-0.3942953872183162
frozenset({'31423'}),"frozenset({'49006', '41427'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
frozenset({'41427'}),"frozenset({'49006', '31423'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
"frozenset({'49032', '31423'})",frozenset({'41427'}),0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'49032', '41427'})",frozenset({'31423'}),0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'31423', '41427'})",frozenset({'49032'}),0.3028656544626686,1.0,0.3028656544626686,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),"frozenset({'31423', '41427'})",1.0,0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,0.0,1.0,0.0
frozenset({'31423'}),"frozenset({'49032', '41427'})",0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
frozenset({'41427'}),"frozenset({'49032', '31423'})",0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'49006', '31423'})",frozenset({'41428'}),0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'49006', '41428'})",frozenset({'31423'}),0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'31423', '41428'})",frozenset({'49006'}),0.3028656544626686,0.999932294046954,0.3028318014861457,0.999888224445314,0.9999559274143835,-1.3347168742627868e-05,0.6057313089266128,-6.321843422915441e-05
frozenset({'49006'}),"frozenset({'31423', '41428'})",0.999932294046954,0.3028656544626686,0.3028318014861457,0.302852306390182,0.9999559274143835,-1.3347168742627868e-05,0.999980853307543,-0.3942953872183162
frozenset({'31423'}),"frozenset({'49006', '41428'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
frozenset({'41428'}),"frozenset({'49006', '31423'})",0.3028656544626686,0.3028318014861457,0.3028318014861457,0.999888224445314,3.3017939976527138,0.21111444973693522,6237.215288014808,1.0
"frozenset({'49032', '31423'})",frozenset({'41428'}),0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'49032', '41428'})",frozenset({'31423'}),0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'31423', '41428'})",frozenset({'49032'}),0.3028656544626686,1.0,0.3028656544626686,1.0,1.0,0.0,inf,0.0
frozenset({'49032'}),"frozenset({'31423', '41428'})",1.0,0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,0.0,1.0,0.0
frozenset({'31423'}),"frozenset({'49032', '41428'})",0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
frozenset({'41428'}),"frozenset({'49032', '31423'})",0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'49006', '31423'})",frozenset({'49032'}),0.3028318014861457,1.0,0.3028318014861457,1.0,1.0,0.0,inf,0.0
